A=3298 B=7840 C=5684 X=808651817 Y=1042650206 Z=91966941978 M=125
A=4976 B=4974 C=6207 X=576416973 Y=2960080869 Z=19243945864 M=63
A=2452 B=7872 C=5356 X=294456071 Y=9575015446 Z=59856563228 M=51
A=2608 B=3276 C=9033 X=100469585 Y=4017822029 Z=15503789508 M=133
A=8455 B=5595 C=6235 X=592370870 Y=6296692712 Z=10726270999 M=62
A=8893 B=4283 C=8736 X=147900032 Y=6502462765 Z=35175283490 M=82
A=9022 B=5704 C=5970 X=721163968 Y=4920712293 Z=93704985492 M=189
A=6640 B=5412 C=8062 X=957689378 Y=9356874695 Z=85099836035 M=105
A=8638 B=3776 C=9390 X=633819513 Y=5993320755 Z=39797932487 M=89
A=4979 B=5850 C=8934 X=640996088 Y=1065919668 Z=60887453926 M=68
A=7431 B=3113 C=5575 X=224891079 Y=6423860436 Z=48386195461 M=71
A=6483 B=9763 C=6050 X=233223543 Y=7808300987 Z=22351222707 M=186
A=5565 B=9022 C=5264 X=433941525 Y=3537595908 Z=50653743899 M=81
A=9649 B=9653 C=8276 X=400743420 Y=5302916129 Z=57088572997 M=70
A=5744 B=7630 C=9821 X=456011309 Y=2057212195 Z=97526954119 M=78
A=7057 B=8912 C=5828 X=739342527 Y=5602454604 Z=83857336777 M=113
A=8461 B=6656 C=7287 X=143195551 Y=2601769555 Z=24499241892 M=166
A=5376 B=4925 C=9916 X=323182643 Y=5853218826 Z=26327671736 M=84
A=2338 B=4111 C=5938 X=367466422 Y=1103248041 Z=82074216458 M=198
A=2693 B=8703 C=5573 X=398169015 Y=6432439027 Z=66750639568 M=113
A=2257 B=5305 C=6642 X=124714834 Y=4550415260 Z=15770287803 M=95
A=4301 B=6343 C=6225 X=100922552 Y=9173496669 Z=83198656723 M=124
A=3096 B=9705 C=5203 X=887004441 Y=1343227452 Z=40483728936 M=80
A=5727 B=6869 C=8883 X=307396860 Y=7596319469 Z=83588593490 M=129
A=5365 B=3923 C=8587 X=147132968 Y=3926506973 Z=37702726372 M=90
A=4321 B=4408 C=6720 X=719317604 Y=7314885563 Z=18974234369 M=82
A=5378 B=9102 C=8646 X=997455070 Y=5542703641 Z=70776497686 M=85
A=9783 B=7347 C=8668 X=641887687 Y=2861330959 Z=94517906251 M=117
A=6688 B=7801 C=8783 X=163182278 Y=3781949574 Z=91969675476 M=140
A=7266 B=6727 C=7973 X=258881025 Y=8409601578 Z=51888411873 M=188
A=3913 B=8436 C=7011 X=667062481 Y=9207800158 Z=14391830686 M=127
A=5695 B=4075 C=9789 X=797672890 Y=3871444729 Z=54533124801 M=92
A=2108 B=9925 C=5378 X=567263670 Y=4351315108 Z=90301814967 M=55
A=9430 B=7681 C=9051 X=243923138 Y=7442616084 Z=86240113655 M=135
A=4124 B=4258 C=8696 X=393469761 Y=5847279897 Z=82412555689 M=78
